Country,Year,Air_Pollution_Index,Water_Pollution_Index,Soil_Pollution_Index,Industrial_Waste (in tons),Energy_Recovered (in GWh),CO2_Emissions (in MT),Renewable_Energy (%),Plastic_Waste_Produced (in tons),Energy_Consumption_Per_Capita (in MWh),Population (in millions),GDP_Per_Capita (in USD)
Hungary,2005,272.7,124.27,51.95,94802.83,158.14,5.3,41.11,37078.88,12.56,42.22,20972.96
Singapore,2001,86.72,60.34,117.22,56283.92,498.04,6.34,36.44,33128.2,5.23,137.25,34850.41
Romania,2016,91.59,83.36,121.72,56256.02,489.51,49.69,9.38,18803.46,13.15,124.47,57773.15
Cook Islands,2018,280.61,67.16,93.58,74864.73,145.18,8.91,18.97,9182.27,0.78,67.8,21837.51
Djibouti,2008,179.16,127.53,121.55,76862.06,40.38,14.93,34.0,39235.12,12.84,186.52,41379.37
Croatia,2009,151.36,61.07,86.75,58079.8,136.26,33.39,39.49,12191.7,18.14,103.43,35092.93
Congo,2008,292.31,156.85,36.4,67774.76,199.71,35.29,26.17,9450.05,16.5,182.09,52050.07
Central African Republic,2006,209.41,188.14,133.5,70552.49,499.98,29.04,47.64,26605.75,2.4,73.43,16491.9
Swaziland,2007,269.63,62.33,71.19,43280.42,495.28,28.55,11.47,2137.98,12.42,11.26,55594.15
Sri Lanka,2002,231.99,155.31,44.99,11306.14,472.63,48.35,45.31,49211.55,16.79,77.21,11627.65
Macedonia,2000,255.33,69.93,110.09,79453.7,475.07,37.72,16.61,48383.61,1.75,93.61,21711.69
Ukraine,2014,286.81,71.15,100.44,55446.58,120.54,18.65,21.36,29979.43,16.44,9.13,45198.31
Northern Mariana Islands,2001,104.15,75.12,125.98,50964.59,177.48,2.76,13.25,41175.33,2.73,73.92,44922.7
Madagascar,2014,201.63,68.97,40.88,66095.66,202.49,38.66,46.28,41961.9,12.1,129.99,9568.21
Thailand,2000,167.85,171.94,21.09,53856.15,77.26,16.82,19.86,37761.68,12.5,141.27,46948.03
Greece,2016,170.42,172.18,97.55,60391.66,367.65,44.98,43.74,20940.92,1.73,112.59,20850.54
South Africa,2007,104.84,90.52,82.33,93418.48,265.15,41.19,19.61,19466.77,4.45,154.94,13376.69
Slovenia,2010,152.69,162.42,121.99,90346.01,342.22,38.16,26.94,33203.03,7.08,28.54,63568.73
Maldives,2005,85.68,50.38,95.85,55458.05,437.62,42.32,7.94,36436.96,16.8,67.65,45490.22
Oman,2013,195.66,43.34,107.15,99688.18,346.4,4.18,10.08,8780.52,14.89,108.39,2962.54
Solomon Islands,2012,241.87,192.48,48.06,84640.55,214.49,24.07,26.54,29098.99,8.34,130.16,53765.57
Malaysia,2005,205.8,113.75,100.78,41821.99,290.72,6.98,43.06,42170.74,2.86,147.74,35020.47
Heard Island and McDonald Islands,2018,177.7,31.13,84.47,63690.84,218.97,43.11,17.7,3189.13,13.84,150.7,67973.15
Bulgaria,2007,91.93,175.71,47.64,82789.34,163.07,17.13,20.69,13587.58,11.14,174.36,42323.5
Angola,2016,221.4,192.86,36.32,33021.64,306.63,21.27,30.86,41066.78,6.77,140.87,25961.41
Togo,2000,280.59,174.16,19.58,24831.53,230.09,11.28,27.86,3099.9,19.31,150.88,34153.53
Senegal,2003,199.13,93.1,29.13,55017.0,74.57,11.24,23.26,23468.74,4.66,152.42,31088.73
Portugal,2004,67.21,83.62,25.45,38131.24,329.71,3.85,37.14,24073.48,1.39,64.77,18795.9
Western Sahara,2014,144.55,182.68,73.75,55473.63,294.71,29.0,9.81,24075.18,3.88,179.69,48327.99
Bouvet Island (Bouvetoya),2015,83.05,179.77,73.39,74713.26,345.18,48.99,30.03,47438.46,1.73,101.21,68223.85
Costa Rica,2016,54.14,127.67,108.07,36640.85,109.13,26.92,8.19,46161.73,5.84,85.16,57461.37
Mozambique,2005,180.68,76.7,78.88,45787.94,77.67,5.3,18.6,12066.23,15.27,11.84,26750.95
Brunei Darussalam,2012,277.33,61.09,54.89,96022.62,347.38,36.48,25.74,34333.74,3.78,75.19,51574.05
Georgia,2005,221.09,159.92,31.3,1019.37,450.34,30.63,31.57,19808.49,7.71,91.03,2210.61
Argentina,2017,256.63,116.89,145.76,4431.63,455.69,39.62,15.74,13499.94,3.72,100.79,18908.07
Liberia,2019,201.38,97.64,13.1,29163.73,220.73,35.63,15.97,26756.89,5.25,166.08,41134.16
Mexico,2017,94.36,157.53,146.13,2613.94,455.41,21.93,12.16,22019.35,11.85,94.56,11083.46
Hong Kong,2012,275.4,51.8,49.5,14373.49,387.32,42.54,26.71,14795.21,3.1,106.85,32812.03
Bosnia and Herzegovina,2019,199.95,119.38,27.51,89142.13,331.55,13.72,7.97,39966.8,15.93,165.25,48836.53
Paraguay,2000,269.44,101.94,71.38,1650.31,286.77,29.18,14.37,19409.2,12.83,179.99,25659.6
Netherlands,2017,182.86,189.74,11.15,98455.05,87.44,31.54,36.23,16126.59,7.83,90.94,4649.29
Tokelau,2002,238.1,35.54,22.63,22267.46,43.23,46.43,24.4,26747.54,3.58,74.26,25920.28
Cyprus,2000,73.3,89.04,12.06,32175.56,271.15,31.1,49.11,47815.6,17.65,134.99,44901.05
Germany,2011,214.85,176.27,40.41,77380.78,362.53,25.32,30.52,5319.53,2.07,138.95,66905.79
Kyrgyz Republic,2007,275.5,161.9,68.83,94391.44,100.23,36.73,20.4,26799.02,0.64,195.64,4361.33
Belize,2010,184.82,107.72,120.0,82411.41,421.37,25.39,36.24,18014.49,18.56,176.74,21124.82
Nigeria,2001,50.3,50.46,79.78,91992.1,81.31,40.59,12.79,42289.84,14.28,38.48,45087.31
Colombia,2004,284.43,118.09,62.0,51615.88,24.45,44.3,35.13,30719.04,12.08,176.91,6301.04
British Indian Ocean Territory (Chagos Archipelago),2014,219.64,83.66,107.57,57496.15,166.16,12.4,38.27,32777.26,6.03,18.37,14373.22
Kazakhstan,2014,157.87,31.43,14.44,57589.57,486.72,15.23,37.04,13993.23,14.02,78.75,44334.07
United States Virgin Islands,2004,155.17,144.6,21.23,10334.43,480.99,10.48,42.65,13881.14,15.95,36.58,53763.57
Libyan Arab Jamahiriya,2018,268.71,94.5,115.08,46576.61,158.64,6.79,10.14,40214.66,9.78,191.69,42314.61
Micronesia,2017,224.41,47.13,30.45,16454.6,375.35,23.78,31.82,13139.52,2.97,16.31,12532.38
Niger,2002,157.24,91.47,47.31,27233.83,412.63,40.04,19.64,29416.75,3.29,33.79,23259.87
Guinea-Bissau,2003,284.61,176.51,64.94,89072.91,322.06,37.14,9.39,23324.88,5.78,23.29,22818.52
Lithuania,2012,170.53,61.82,86.05,25735.83,371.79,11.16,25.03,33926.91,9.28,30.44,59304.65
Gambia,2005,242.17,74.68,35.42,26368.14,84.46,31.15,18.86,12468.95,5.17,30.95,56191.53
Bahamas,2002,137.63,75.8,135.4,30729.94,102.09,21.32,23.26,33758.55,3.9,41.65,19730.67
Tajikistan,2013,251.16,192.95,45.01,57478.23,74.46,3.23,31.92,38639.62,13.99,190.47,49159.76
Zimbabwe,2011,276.96,88.33,63.42,57337.43,22.84,18.13,35.85,26237.64,12.13,5.52,26014.06
Estonia,2001,259.3,61.27,11.77,22526.29,493.12,40.5,31.84,34047.05,14.49,83.89,37875.0
Zambia,2015,194.03,102.07,146.44,8642.95,312.3,11.4,41.89,49664.13,12.43,136.8,25262.43
French Guiana,2019,156.37,101.25,110.06,33144.51,306.75,32.39,19.73,16006.86,2.22,186.41,10916.51
Grenada,2010,113.63,157.87,63.87,48770.78,310.06,34.81,34.02,1023.61,16.62,95.31,10449.51
Australia,2012,241.46,92.06,146.5,49339.36,302.22,13.47,7.77,919.57,6.37,84.61,20417.83
Cambodia,2001,277.52,98.1,44.6,90003.39,123.15,4.32,14.79,3863.62,8.67,147.8,54737.74
Pitcairn Islands,2013,70.95,106.62,149.23,70581.94,22.78,15.71,11.25,20856.81,11.38,5.27,29427.62
Israel,2005,199.57,127.14,37.89,82132.01,48.94,27.95,31.13,26500.58,4.24,38.62,64542.61
Iran,2003,185.93,196.48,112.95,10441.04,392.11,38.58,38.97,34432.23,19.74,5.39,12249.01
Falkland Islands (Malvinas),2011,114.45,146.62,23.15,64583.21,75.7,6.58,41.44,17900.06,19.55,160.6,16033.46
Netherlands Antilles,2019,51.37,168.41,103.24,4699.79,424.61,17.33,39.07,36399.91,12.57,167.15,35733.42
Saint Pierre and Miquelon,2007,235.91,152.54,39.18,81025.78,239.69,20.41,34.74,12968.86,17.32,104.4,58378.58
Aruba,2013,51.78,166.69,64.48,38773.06,328.29,28.88,25.38,2185.07,19.74,67.84,55862.36
Mali,2004,180.64,124.41,144.57,78232.07,100.15,48.05,18.12,31160.16,10.4,116.16,39547.21
India,2005,179.94,175.57,141.07,92265.28,199.86,41.77,32.7,3315.65,9.55,131.5,48586.05
Panama,2001,143.76,63.33,32.21,34104.57,242.18,10.51,25.12,29909.86,12.72,157.58,66722.17
Guernsey,2003,101.35,166.01,111.95,88099.46,90.26,41.86,14.25,44751.36,4.56,97.74,59378.81
Saint Lucia,2009,251.07,155.55,114.26,43996.14,120.87,46.19,44.48,11232.82,1.53,133.51,50165.75
Albania,2006,152.21,110.41,86.94,93094.36,210.21,24.48,18.49,30169.56,2.7,106.5,49456.28
Cape Verde,2013,76.65,31.66,27.1,12933.51,484.72,24.25,40.75,6528.61,3.41,110.15,56378.04
British Virgin Islands,2013,156.52,101.66,77.37,77268.62,463.46,2.74,35.58,47910.87,16.95,92.14,29796.89
Indonesia,2003,196.34,52.86,51.83,75020.19,475.6,7.65,46.33,4776.13,18.27,113.88,64206.15
Tunisia,2011,115.33,181.86,60.46,85098.34,119.05,8.61,47.15,30431.95,10.2,179.76,9043.03
Japan,2016,184.03,137.21,17.29,92936.66,338.96,23.57,37.3,19109.94,3.62,61.99,10055.02
Benin,2019,191.17,120.78,103.34,63754.82,109.39,43.4,46.18,38310.96,18.49,158.06,2199.18
Italy,2003,202.97,83.67,146.26,63587.17,110.24,44.9,49.56,32571.34,1.55,46.13,25026.48
Equatorial Guinea,2006,297.95,112.73,43.04,6358.67,96.77,23.66,31.22,40258.4,7.6,75.01,48682.5
San Marino,2015,149.36,72.67,70.78,52913.95,477.8,40.89,32.52,9646.05,4.59,58.34,10591.96
France,2014,100.92,175.95,12.11,32612.34,225.25,46.46,27.97,5986.83,5.4,169.26,31493.72
Botswana,2012,188.03,38.11,121.21,56926.38,312.36,3.75,43.14,9621.02,12.53,30.52,69143.14
Andorra,2005,189.39,46.83,91.86,33356.33,347.05,26.53,43.36,15081.15,17.86,57.59,37095.36
Antarctica (the territory South of 60 deg S),2007,94.68,57.77,65.41,70079.1,434.72,28.68,7.81,33193.65,9.34,191.29,67937.69
Sierra Leone,2013,189.77,66.63,44.03,16166.55,444.92,34.23,45.55,4247.85,2.54,124.11,12882.29
Jordan,2006,170.94,73.23,145.64,67689.89,219.5,28.2,48.56,22945.47,1.52,33.0,22023.21
Saint Barthelemy,2009,297.13,172.63,91.35,99739.36,390.35,1.92,5.04,49764.74,10.98,107.53,52367.75
Lao People's Democratic Republic,2008,194.41,46.37,106.71,97132.98,307.89,29.29,30.2,38583.28,3.58,37.27,9183.19
Ghana,2015,243.55,156.58,106.38,75531.18,413.92,17.25,49.04,34764.96,1.07,35.9,9881.3
Saint Vincent and the Grenadines,2009,149.53,74.16,31.7,57950.23,362.9,45.89,9.94,33545.17,10.54,141.91,48902.85
Bahrain,2002,84.52,91.25,117.91,9918.21,203.13,39.99,17.7,38620.92,1.88,181.04,48475.25
Egypt,2012,265.96,124.77,44.82,43761.63,470.18,4.24,6.4,13238.16,5.09,159.1,22212.55
United Arab Emirates,2001,79.77,167.7,79.99,78850.46,290.25,8.32,24.43,39146.2,9.17,33.09,15479.03
Ecuador,2005,107.44,88.5,106.03,15653.23,272.72,42.2,31.56,14225.73,11.81,24.27,68696.56
Switzerland,2016,245.78,100.0,57.38,34280.65,324.28,17.62,33.13,3588.18,8.67,198.76,30311.55
Morocco,2017,287.31,89.69,145.75,48109.61,355.02,19.39,37.03,19735.23,15.07,115.33,53648.63
Malta,2003,75.07,145.53,116.34,74786.19,28.87,27.18,23.27,49799.95,18.02,88.74,8708.83
Suriname,2014,177.09,132.95,18.41,55267.09,63.56,9.13,24.58,13282.81,4.99,74.56,2297.64
Montenegro,2012,246.52,128.07,59.77,26993.24,233.88,30.68,14.5,40733.64,2.65,41.83,34413.59
Eritrea,2014,250.21,140.48,31.55,40454.18,440.11,10.18,12.8,9307.51,4.94,141.72,30756.08
Kuwait,2017,203.51,121.53,85.09,44014.62,440.11,6.73,11.26,3935.22,5.12,133.45,14548.22
Gibraltar,2016,221.14,196.49,25.03,70089.18,130.4,39.33,29.99,48981.39,8.55,195.63,3262.7
Armenia,2012,63.01,78.38,78.3,76441.26,273.56,16.11,42.95,10433.12,4.4,30.44,46525.43
Haiti,2016,147.28,85.27,54.34,48611.33,492.08,43.03,21.21,19935.41,17.88,90.24,41929.16
Pakistan,2011,208.97,116.78,88.17,20612.74,29.23,35.78,23.78,32451.42,1.93,195.12,33366.68
Malawi,2015,251.09,161.71,100.25,40136.56,199.82,14.3,17.98,5867.31,11.91,107.19,63688.52
Mayotte,2004,255.81,105.98,58.62,57561.74,384.93,5.25,44.27,27261.29,1.56,25.18,3986.42
Sweden,2000,167.92,43.33,134.85,56555.59,481.67,43.98,10.65,21847.05,9.0,5.96,21813.56
Moldova,2005,200.06,134.32,112.65,99710.8,103.03,19.21,5.52,30891.33,4.72,186.28,1708.8
Chad,2017,72.04,108.84,12.99,52900.53,225.38,41.64,34.18,5759.36,12.38,153.94,7658.75
Austria,2010,115.77,192.62,62.89,24989.19,443.35,15.83,11.48,22358.29,3.97,189.61,9541.76
Bangladesh,2013,142.71,177.6,111.42,27359.45,389.1,26.73,44.82,13320.31,7.78,185.63,42523.65
Afghanistan,2002,202.26,138.9,45.1,43576.51,150.1,9.58,34.61,2225.61,9.43,32.05,41544.61
United Kingdom,2007,231.12,187.86,15.53,68789.06,91.58,19.34,48.87,3985.41,4.29,194.06,14801.69
Vietnam,2017,282.67,101.71,108.93,58025.81,154.27,2.83,11.11,36513.48,7.49,109.68,47271.44
Finland,2011,150.16,134.09,88.26,12140.46,460.33,10.9,11.17,38973.24,5.76,101.97,3018.88
Kenya,2017,214.04,98.81,85.98,41944.62,348.08,5.54,41.27,1428.86,7.05,129.8,11043.43
Norway,2002,121.62,184.2,78.61,37161.5,452.8,25.79,43.71,25136.22,1.13,59.82,52487.66
United States Minor Outlying Islands,2010,290.88,43.45,89.34,19858.48,237.15,40.15,45.21,32816.83,11.59,179.3,20138.92
Bermuda,2001,64.37,88.42,86.11,35107.97,326.59,45.34,36.29,542.95,5.97,193.95,41002.84
Martinique,2007,243.4,83.29,55.32,65885.58,54.32,8.55,46.86,2372.86,2.67,151.08,25302.03
Faroe Islands,2000,93.82,141.01,75.58,77198.45,255.32,17.67,33.05,19828.95,9.58,198.82,60004.53
Sudan,2004,173.59,150.77,131.47,17756.27,98.09,24.69,25.45,8004.57,8.66,133.71,54875.35
Fiji,2019,52.68,132.92,93.82,35621.92,296.87,43.82,24.09,16826.63,15.33,160.12,43293.99
Burundi,2019,262.64,97.23,130.48,82336.82,448.22,16.21,41.9,19870.85,4.79,145.98,35838.74
Belgium,2013,282.69,180.91,32.45,80476.81,277.74,17.04,22.31,683.34,6.26,184.54,5715.26
Palestinian Territory,2015,179.54,162.77,84.36,62695.03,202.6,38.7,15.16,35526.48,3.56,68.4,57551.47
Dominica,2002,98.69,189.59,72.91,44605.88,168.5,5.81,24.11,38664.04,15.99,23.35,53663.84
Christmas Island,2003,245.99,157.14,124.72,92497.11,22.21,49.13,5.33,24167.9,19.08,96.32,37489.87
China,2011,177.64,118.56,85.82,24115.47,232.3,26.29,27.42,20493.68,18.16,8.98,50391.0
Taiwan,2011,224.61,106.55,73.57,68850.56,449.34,49.64,37.89,36524.49,11.77,135.92,67534.2
New Caledonia,2017,203.8,58.44,118.63,16443.13,448.94,11.05,37.05,40707.64,11.28,24.26,12852.37
Antigua and Barbuda,2002,218.51,175.22,80.83,73120.19,442.45,2.79,17.12,3969.93,4.98,5.93,53027.23
Bhutan,2014,139.93,51.26,112.71,9495.63,54.19,19.99,46.7,11679.42,8.53,123.89,1298.7
Cote d'Ivoire,2018,213.75,69.89,133.61,74218.58,168.8,43.38,30.94,19528.98,10.67,44.85,51049.11
French Southern Territories,2000,293.91,72.78,96.76,25061.78,327.8,6.68,6.51,34618.43,17.31,72.12,64772.01
Peru,2015,71.71,156.46,60.97,62479.24,358.62,16.24,6.7,39101.58,4.72,65.95,64512.93
Guyana,2004,118.98,157.46,96.83,15620.03,90.36,3.16,26.75,6499.58,9.73,122.02,59739.48
South Georgia and the South Sandwich Islands,2005,149.86,65.8,54.9,83412.03,369.3,42.56,21.59,26997.55,9.52,39.83,33755.37
